Site,Locality,Catalog,FAI,Base,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,Mean_Scar_Length,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Contexts,Flaked,SABox,FAC1_1,FAC2_1,cSDI
OGS12,OGS12,61,0,flake,674,136.6,86.5,50.2,86,81,62.5,39,49.7,40.3,0, ,64.5025932873266,2.11774431132584,1.33327972748186,1.25576346425617,.968953290321118,.604626853160378,.770511656463353,.624781081599057,2,Large Flake,Acheulean,Unmodified,46031.04,.0859451356086286,.187134663679909,0
OGS12,OGS12,        62,15,flake,644,153.62,109,58,67,101.9,63.94,26.05,48.35,52.42,3,82.8333333333333,64.0613077758162,2.39801535956144,1.0458731225792,1.59066374911672,.99810637996588,.406641714077435,.754745753383646,.81827864306868,2,Knife,Acheulean,Flaked,63953.08,.625620553755498,.241170981700608,.00938187808937427
OGS12,OGS12,        63,40,flake,750,167,86,47,86,77.38,38.17,33.88,44.81,30.86,4,69.21,57.1343319327247,2.92293607627444,1.50522456622516,1.35435205737794,.668074670846679,.592988468647773,.78429200944825,.54013058271754,2,Handaxe,Acheulean,Flaked,52506,1.50781756245245,-1.61147622254174,.015236353940502
OGS12,OGS12,64,0,flake,310,112.12,83.4,37.94,80,72,50,35.24,35.37,22.2,0, ,50.9682743897259,2.1997998037501,1.5696038556904,1.41264347012136,.9810024098065,.691410498431621,.693961104697118,.435565069954086,2,Large Flake,Acheulean,Unmodified,33537.6736,.58541053335843,.38563615292297,0
OGS12,OGS12,        65,60,flake,750,108,106,38,74.08,105.36,67.8,45.02,37.22,32.9,13,50.8161538461538,61.0220577972322,1.7698518191384,1.21398724779419,1.72658877467057,1.11107364201466,.73776600831121,.609943376928993,.539149304163457,2,Handaxe,Acheulean,Flaked,39160,-.0927388908398014,1.66137113833657,.066394279877426
OGS12,OGS12,        66,85,flake,772,151,74,63,74.37,69.7,40.36,62.42,74.13,40,12,56.9166666666667,66.6573524530792,2.26531649462511,1.11570587884284,1.04564609056537,.605484594192513,.936430831751652,1.11210537580503,.600083839635791,2,Pick,Acheulean,Flaked,50698,-.423739210024181,-1.84471145353702,.0473391455284232
OGS12,OGS12,        70,70,flake,1018,166,100.28,83,100.28,86,64.92,75.76,74,46.11,9,95.3555555555556,81.5687375119562,2.03509340788397,1.2293925719434,1.05432550047001,.79589315686643,.928787208321021,.907210314357914,.565290102635722,2,Pick,Acheulean,Flaked,77495.44,-.516162309464119,-.794009824313227,.0232271731085081
OGS12,OGS12,        74,80,cobble,896,150,90,73,86.88,73.77,44.09,70.15,57.66,35.18,15,55.7466666666667,66.9538547826201,2.24034897597766,1.29761012688626,1.10180362638581,.658513242339034,1.04773653776555,.861190146365813,.525436513165961,2,Pick,Acheulean,Flaked,62040,-.169979568285528,-1.40244052384897,.0483558994197292
OGS12,OGS12,75,0,flake,398,130.9,77.5,37.7,75,76.1,33.1,25.7,34.8,36.6,0, ,50.2542077107186,2.60475701365163,1.49241234548413,1.51430105988456,.658651315140328,.511399963719227,.692479328304635,.728297224596254,2,Large Flake,Acheulean,Unmodified,36002.86,1.04826271456101,-.642198709069706,0
OGS12,OGS12,76,100,cobble,120,60,51.3,43.5,43,50.8,39.6,30,43,35.6,14,33.7785714285714,42.2004324839755,1.42178637678141,1.01894690336001,1.20377913234159,.938379008675729,.710893188390704,1.01894690336001,.843593250223635,1,Core,Acheulean,Flaked,15839.1,-1.61860949314432,.821395144475687,.176777720956367
