Site,Catalog,Scan,Coverage,Old_Scar_Length,New_Scar_Length,Total_Scar_Area,Base,Type,Technology,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,SA_fitted,Calc_cover,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Dis_1,logSDI,Average_scar_area,Average_scar_area_relative,Collapsed_Types,FAC1_1,FAC2_1,filter_$,logSDI_plus_one,Note
OGS12,113, ,30, ,234.88,5618.2672,flake,Flake,Unifacial simple, ,126,80.62,42,47,78,48.6,41.22,40.37,20.33,4,26069.058,0.215514776,49.798329,2.530205381,0.943806769,1.566317617,0.975936361,0.827738618,0.810669772,0.40824663,2,Retouched Flake/Knife,Handaxe/Cleaver,0.185934653,1404.5668,0.053878694,Flake,0.828719195,-0.668698977,Selected,0.403872776, 
OGS12,114, ,70,483.6,492.4,18840.95,cobble,Core,Multifacial,430,115,78,42,73.87,71.33,61.77,50.99,49.98,32.04,12,31810.87543,0.592280148,60.75730548,1.8927765,1.21582087,1.174015198,1.016667864,0.839240641,0.822617126,0.527343992,1,Core,Oldowan,0.576605625,1570.079167,0.049356679,Core,-0.444263697,0.158411156,Not Selected,0.678727264, 
OGS12,115,1,15,225.2,212.5,8264.85,flake,Flake,Unidirectional,782,121,114,50,82.95,99.37,67.2,47.05,44.63,27.15,4,35440.84417,0.233201274,62.72702168,1.928993227,1.322396597,1.58416576,1.071308635,0.750075466,0.711495601,0.432827819,2,Retouched Flake/Knife,Retouched Flake/Knife,0.052555934,2066.2125,0.058300318,Flake,0.132404007,1.046948817,Selected,0.328102482, 
OGS12,125, ,97,653,643.8,30739.2,cobble,Core,Multifacial,604,108,82,76,82,60.75,45.58,53.39,76,70.49,10,35542.0342,0.864868899,68.41274769,1.578653155,1.198607025,0.8879924,0.6662501,0.780410111,1.110904072,1.030363527,1,Core,Core,0.44925772,3073.92,0.08648689,Core,-1.760776665,-0.542869312,Not Selected,0.581331719, 
OGS12,127, ,5, ,64.19,3208.2162,cobble,Core,Unifacial simple,1142,115.37,102,86.22,89,101,82,81.9,86,70,1,52247.20867,0.061404547,88.32247224,1.306236081,1.007671069,1.143536831,0.928416041,0.927283826,0.973704628,0.792550279,1,Core,Core,-0.718063093,3208.2162,0.061404547,Core,-1.895357654,0.644685058,Not Selected,0.076056788, 
OGS12,134, ,25,170.1,176.77,9961.25,cobble,Core,Bifacial,1078,118,102,73,84.4,104.7,75.6,67.15,73.75,55.49,3,46134.91733,0.215915636,80.37153122,1.468181559,1.050123081,1.302700078,0.940631575,0.835494845,0.917613474,0.690418599,1,Core,Core,-0.186908492,3320.416667,0.071971879,Core,-1.352776103,0.778711457,Not Selected,0.217554134, 
OGS12,135, ,15,121.6,130,5366.5,cobble,Core,Bifacial,454,117,67,60,60.54,66.92,55.53,47.83,59.95,49.74,2,32217.4704,0.166571116,62.56885049,1.86994006,0.967574113,1.069541784,0.887502321,0.764437889,0.958144501,0.794964261,1,Core,Oldowan,-0.207061443,2683.25,0.083285558,Core,-0.943649835,-0.393498237,Not Selected,0.209724391, 
OGS12,139, ,15,116.1,121,3454.25,cobble,Core,Unifacial simple,430,110,68,50,63.39,67.93,51.87,52.87,68.83,46.61,3,31545.75667,0.109499672,63.50922063,1.732031962,0.998122782,1.069608465,0.816731799,0.832477544,1.083779636,0.733909179,1,Core,Core,-0.021819694,1151.416667,0.036499891,Core,-1.254323534,-0.449218005,Not Selected,0.290257166, 
OGS12,144, ,35,277.5,344.24,12942.2,cobble,Core,Bifacial,502,115,86,63,68.14,83.16,66.21,21.54,56.25,58.66,5,32488.54753,0.398361915,60.78646713,1.891868461,1.120973191,1.368067662,1.089222702,0.354355188,0.925370443,0.965017425,1,Core,Large Flake,0.187239709,2588.44,0.079672383,Core,-0.432276586,0.937219068,Not Selected,0.404663361, 
OGS12,226,1,95,746.2,841.32,36130.3914,flake,handaxe,Bifacial,742,156,106,57,96.86,90.31,50.24,50.41,55,26.4,14,44607.9286,0.809954475,65.2172602,2.392004809,1.485189652,1.384756117,0.770348215,0.772954887,0.843335029,0.404800814,2,Handaxe/Cleaver,Handaxe/Cleaver,0.496715979,2580.742243,0.057853891,Handaxe,0.683005203,-0.677390135,Selected,0.616838292, 
