Name,SABox,L,Br1,Br2,Br3,T1,T2,T3,Caliper_L_GM,Caliper_Br1_GM,Caliper_Br2_GM,Caliper_Br3_GM,Caliper_T1_GM,Caliper_T2_GM,Caliper_T3_GM,Volume,Length,Width,Thickness,@3DGMPC110x10,@3DGMPC210x10,@3DGMPC310x10,@3DGMPC410x10,@3DGMPC510x10,ScarCount,SurfaceArea3D,SDI_3D,Flaked,FlakedVisual,FAC1_2,FAC2_2
OGS7-334,10944,64,41,38.5,36.7,19.6,25.1,22,1.956151057,1.253159271,1.17674712,1.121730371,0.599071261,0.767177992,0.672426926,28196.50708,63.90484377,40.93961629,27.80828623,-0.4473,-0.4652,-0.6669,0.2927,0.1824,6,5816.128291,0.103161411,49.09,50,-0.530626878,0.835378642
OGS7-335,17844.4,67,50,56.9,26.2,31,39.5,23.5,1.706665352,1.27363086,1.449391919,0.667382571,0.789651133,1.006168379,0.598606504,59852.336,66.50340427,60.31326942,39.97144046,-2.5939,0.9798,-1.3295,-0.6056,-0.7831,6,9358.898638,0.064110108,72.439,75,-0.935727247,-0.050957979
OGS7-437,10068,67,33.6,38.6,20,10.2,20.8,19.5,2.618005705,1.312910324,1.508283884,0.78149424,0.398562063,0.81275401,0.761956884,21772.5706,66.38726555,39.63231166,22.48335808,1.0842,0.0195,-0.7539,0.5425,0.2644,5,5361.078588,0.093264814,52.531,45,1.191273474,0.962724989
OGS7-485,15590,62,47.3,36.4,21.4,30.6,34.6,24.7,1.790299222,1.365825052,1.051078898,0.61794199,0.883599293,0.999102469,0.713232109,34930.3566,63.83080324,47.17275887,38.84139736,-0.4774,-1.7277,-0.0553,-1.0163,0.6747,8,6608.173867,0.12106219,73.394,70,-0.854226212,-1.119077172
OGS7-486,14156,70,34.9,40.8,24.9,19.4,29.2,22.7,2.2106885,1.102186124,1.288515583,0.786373481,0.612676527,0.922172917,0.716894699,29519.81666,68.61100175,43.09227806,31.30321943,0.9135,-0.8939,0.3775,1.0695,0.1135,8,6370.738771,0.125574133,67.026,70,0.112547985,-0.046193537
OGS7-523,12456,63,35.1,37.2,32,35.7,27.2,23.7,1.815550179,1.011520814,1.072039153,0.922184218,1.028811768,0.783856585,0.682992686,31061.14844,49.53765374,41.38494878,33.00664958,-0.6264,-1.1954,2.3994,-0.2042,0.5625,4,5957.57497,0.067141413,51.249,60,-0.899825668,-0.824709452
OGS7-2006,5288,42,29.8,31.3,27.1,13.9,15.2,13.1,1.86492903,1.32321155,1.389816158,1.203323255,0.617202703,0.674926697,0.581680245,9913.126609,41.38374062,32.25992334,16.48848641,-1.0709,-1.2909,-0.5224,-0.8107,-1.4276,12,3107.645212,0.386144466,76.945,85,-0.639118431,1.620664816
OGS7-2016,18378,73,41.3,41.6,28.3,41,25,14.2,2.15214106,1.217581175,1.22642559,0.834323178,1.20873676,0.73703461,0.418635658,57230.71685,73.26523456,50.33887635,45.56144872,-0.3919,1.3405,0.5778,0.2555,-0.1221,10,8766.463744,0.114071081,66.678,75,0.157818929,-0.745353352
OGS7-2066,7062,44,29.8,28.3,19.4,25.2,25.4,19.6,1.664190517,1.12711085,1.070377083,0.733756728,0.953127296,0.960691798,0.74132123,13719.79158,42.59521013,30.03119916,29.52225854,-1.2902,1.4029,2.04,0.0637,-0.585,15,3542.781723,0.42339611,90.25,95,-1.245418023,-1.139132573
OGS7-2081,7822,47,37.5,34.2,23.8,25.4,23.3,18,1.648970755,1.315668156,1.199889358,0.835010723,0.891145898,0.817468481,0.631520715,19571.13596,45.43475455,38.14676826,24.65714486,-1.715,-0.2865,0.3883,0.4576,0.6347,7,4292.550801,0.163073201,52.384,60,-1.153150413,-0.172365832
OGS7-2092,6567.4,41,24.3,31.3,21.3,22,24.7,22,1.579496467,0.936140589,1.205810717,0.820567677,0.847534689,0.95155031,0.847534689,14336.42763,34.66843041,34.0293707,25.96005366,-2.0009,-0.5074,-1.1237,-0.6826,1.7363,6,3355.848427,0.178792342,48.155,50,-1.534003428,-0.693366795
OGS12-13,70354,183,85.01,95.68,67.43,62.15,61.79,40.34,2.387392655,1.109028686,1.248228029,0.879682441,0.810800292,0.806103782,0.526270053,329420.9128,171.9596823,91.36688767,63.66758547,1.7056,-0.3194,0.1313,0.1097,-0.2172,13,31229.09326,0.04162785,44.33,40,0.617831856,-0.125991206
OGS12-16,41076,135,69.93,83.62,64.42,43.65,41.35,21.59,2.363816093,1.224456736,1.464165198,1.12797802,0.764300537,0.724028114,0.378035477,205943.0019,131.7349127,83.55946594,43.48146166,0.39,-0.237,-0.084,-0.2622,-0.3239,11,21978.42586,0.05004908,63.035,60,0.663157814,1.184504806
OGS12-63,52506,167,86,77.38,38.17,33.88,44.81,30.86,2.922936076,1.505224566,1.354352057,0.668074671,0.592988469,0.784292009,0.540130583,230270.3364,166.6996195,85.69830057,48.76776449,1.8649,-0.2369,-0.0628,-0.5992,-0.5216,4,25779.52488,0.01551619,42.294,40,2.073925195,0.305265179
