"","GM_L","GM_Br1","GM_Br2","GM_Br3","GM_T1","GM_T2","GM_T3","Note","Site","Catalog","Scan","Coverage","Old_Scar_Length","New_Scar_Length","Total_Scar_Area","Base","Type.x","Technology","Weight","L","Br","T","Br1","Br2","Br3","T1","T2","T3","ScarCnt","SA_fitted","Calc_cover","GM","Mode","Typology","Dis_1","logSDI","Average_scar_area","Average_scar_area_relative","Collapsed_Types","FAC1_1.x","FAC2_1","filter_$","logSDI_plus_one","Name","Type.y","Volume","Length","Width","Thickness","Length of the higher touch point of width","Length of the higher touch point of thickness","width at half length","thickness at half","width at one fifth","thickness at one fifth","width at four fifth","thickness at four fifth","3DGMPC1(10x10)","3DGMPC2(10x10)","3DGMPC3(10x10)","3DGMPC4(10x10)","3DGMPC5(10x10)","ScarCount.x","SurfaceArea3D","SDI","%Cortex","%Ventral","%Flaked","SurfaceAreaCallipers","%FlakedVisual","%FlakedCallipers","FAC1_1.y","TotalSurfaceArea","ScarCount.y","%FlakedSurfaceArea","MaxScar/Mean","Individual Scar Surface Areas","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24"
"11",1.672846128,1.128757066,1.246021923,0.692160789,0.834269896,0.965447533,0.762387201,NA,"BSN17","17c-231",1,50,413.1,519.3,15070.1,"cobble","Core","Multifacial",480,101,90,63,68.15,75.23,41.79,50.37,58.29,46.03,9,28240.21587,0.533639689,60.37614476,1,"Core","Core",0.503374497,1674.455556,0.059293299,"Core",-1.174521202,-0.123692391,"Not Selected",0.621897202,"BSN17C-231","Core",194417.611,99.22434384,85.68154747,66.90414473,50.1969741,37.74641597,81.64660882,57.70081785,68.45238666,58.90265854,41.78582968,35.67122934,-1.0548,0.0969,0.1033,0.9984,1.309,9,19364.80716,0.000464761,51.556,0,48.444,28240.21587,50,0.533639689,-1.174521202,19364.80716,9,48.44,2.21,2304.21,1756.28,1185.69,1062.74,949.39,877.6,655.65,291.9,289.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1.71152457,1.098102047,1.132635463,0.857579833,0.789573237,0.963300554,0.720203481,"BROKEN PICK","BSN17","17C-29",1,70,577.8,NA,NA,"cobble","pick","Multifacial",520,113,80.49,62,72.5,74.78,56.62,52.13,63.6,47.55,12,34132.59933,NA,66.02300778,2,"Pick","Oldowan",0.546011883,NA,NA,"Pick",-1.083837026,-0.020380196,"Not Selected",0.65472514,"BSN17C-29","Pick",220590.2617,107.1711395,64.5072376,65.24016814,65.34742686,59.201627,62.6606091,64.9012005,61.29590813,53.59402425,56.26534797,44.28566854,-1.0348,-0.7161,0.2411,0.7574,0.0314,12,21703.18178,0.000552914,28.162,0,71.838,34132.59933,70,NA,-1.083837026,21703.18178,12,71.84,1.63,2112.43,1991.59,1882.91,1742.57,1615.15,1440.42,1328.86,1305.72,921.4,569.24,509.76,168.27,NA,NA,NA,NA,NA,NA,NA
"13",2.768157689,0.969725681,1.276312203,0.764638275,1.299467232,0.756629768,0.388238468,NA,"BSN17","21",1,30,337.8,323.8,11806.56,"cobble","pick","Unidirectional",682,159,79,78.67,55.7,73.31,43.92,74.64,43.46,22.3,7,38349.844,0.307864616,57.43892431,2,"Pick","Pick",0.261334438,1686.651429,0.043980659,"Pick",0.797876353,-2.341145941,"Not Selected",0.451064689,"BSN17-21","Pick",269239.6977,156.6530097,76.9441761,78.9055384,75.69669348,54.45288584,73.06610748,53.66707411,51.95597477,75.55044175,37.79792272,20.04339188,1.4446,-0.8566,0.7916,-0.8824,0.1392,7,26062.45945,0.000268586,70.801,0,29.199,38349.844,30,0.307864616,0.797876353,26062.45945,7,29.2,2.93,3173.05,1558.77,1372.61,520.33,471.44,271.8,221.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2.922877061,1.243433888,0.999107203,0.474281212,1.017354999,0.985058015,0.579407895,NA,"BSN17","24",1,60,591.11,653.4,24414.18,"cobble","pick","Multifacial",854,181,79.5,64,77,61.87,29.37,63,61,35.88,13,45497.94227,0.536599652,61.9252867,2,"Pick","Pick",0.455951597,1878.013846,0.041276896,"Pick",0.785186239,-3.287338667,"Not Selected",0.586280273,"BSN17-24","Pick",334915.3621,177.3330626,74.15663515,78.89085461,38.93032531,63.83596239,65.50311569,59.80841524,72.79148109,77.58808003,33.61828294,25.25914238,1.7704,-1.2614,0.6205,-0.9697,0.3589,13,29500.23411,0.000440674,50.459,0,49.541,45497.94227,60,0.536599652,0.785186239,29500.23411,13,49.54,2.36,2654.61,2165.39,1633.69,1596.51,1543.62,1407.17,1097.52,691.44,487.6,447.65,445.84,233.21,201.94,NA,NA,NA,NA,NA,NA
"15",2.396698417,1.283338514,1.047408202,0.69266284,0.920774136,0.951880222,0.511295662,NA,"BSN17","34",1,35,396.2,406.8,10349.06,"cobble","pick","Bifacial",688,141,81,56,75.5,61.62,40.75,54.17,56,30.08,10,35218.875,0.293849818,58.83093134,2,"Pick","Pick",0.453224521,1034.906,0.029384982,"Pick",0.132824639,-1.701257978,"Not Selected",0.584261839,"BSN17-34","Pick",250174.7077,141.117767,80.40702354,60.13020829,49.68858384,49.0208645,67.91676108,49.0566421,70.62843792,53.62721542,31.93924328,25.22147263,0.9183,-1.1003,0.2891,-0.5974,0.4449,10,22737.89564,0.000439794,66.397,0,33.603,35218.875,35,0.293849818,0.132824639,22737.89564,10,33.6,1.88,1432.42,1414.25,1159.29,874.01,801.03,502.5,498.34,396.14,291.34,264.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1.978039549,1.438896975,1.295700436,0.577012734,0.900092527,0.897218452,0.581915567,NA,"BSN17","17C-35",1,40,364.8,417.5,12025.58,"cobble","handaxe","Bifacial",498,117,84,55,85.11,76.64,34.13,53.24,53.07,34.42,9,31961.591,0.376250982,59.14947456,2,"Handaxe/Cleaver","Pick",0.44961412,1336.175556,0.041805665,"Handaxe",-0.385129544,-0.625795272,"Not Selected",0.581594691,"BSN17-35","Handaxe/Cleaver",202239.6156,115.7251644,86.14838838,53.7670887,42.14823165,44.03014753,77.06205682,52.41473043,84.31507679,50.2012897,29.14302612,27.00110229,-0.4101,-1.7504,0.0083,0.263,-0.1903,9,20353.68505,0.00044218,59.247,0,40.753,31961.591,40,0.376250982,-0.385129544,20353.68505,9,40.75,2.79,2568.36,1850.28,1256.73,1047.31,625.39,340.88,200.38,197.23,196.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1.815550179,1.011520814,1.072039153,0.922184218,1.028811768,0.783856585,0.682992686,NA,"OGS7","523",1,60,NA,197.1,4820.79,"cobble","Oldowan","Bifacial",81.6,63,40,36,35.1,37.2,32,35.7,27.2,23.7,4,10029.27,0.480672073,34.70022517,1,"Oldowan","Core",0.600790668,1205.1975,0.120168018,"Core",-0.952114753,-0.317271504,"Not Selected",0.697954843,"OGS7-523","Oldowan",31061.14844,49.53765374,41.38494878,33.00664958,38.29122921,12.79554081,36.80174612,28.78814082,39.24176533,32.94261276,33.82764935,24.07391691,-0.7049,1.6631,1.1418,-1.3642,-0.3607,4,5957.57497,0.000671414,48.751,0,51.249,10029.27,60,0.480672073,-0.952114753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1.956151057,1.253159271,1.17674712,1.121730371,0.599071261,0.767177992,0.672426926,NA,"OGS7","334",1,50,NA,216.4,4351.6,"cobble","Oldowan","Unifacial Centripetal",70,64,40,28,41,38.5,36.7,19.6,25.1,22,6,9414.733333,0.462211711,32.71730973,1,"Oldowan","Oldowan",0.804343227,725.2666667,0.077035285,"Core",-0.218347744,0.579172747,"Not Selected",0.867643636,"OGS7-334","Oldowan",28196.50708,63.90484377,40.93961629,27.80828623,44.18590687,34.93695641,38.60148271,25.45614317,34.06831245,21.79827637,36.59286638,19.19749962,-0.2178,0.153,-0.8305,0.4364,0.1011,6,5816.128291,0.001031614,50.91,0,49.09,9414.733333,50,0.462211711,-0.218347744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2.618005705,1.312910324,1.508283884,0.78149424,0.398562063,0.81275401,0.761956884,NA,"OGS7","437",1,15,NA,127.9,1812.47,"flake","Oldowan","Multifacial",54,67,40,22,33.6,38.6,20,10.2,20.8,19.5,5,7106.653333,0.255038471,25.59199923,1,"Oldowan","Large Flake",0.847304874,362.494,0.051007694,"Core",1.034089418,-0.564918629,"Not Selected",0.905021579,"OGS7-437","Oldowan",21772.5706,66.38726555,39.63231166,22.48335808,40.37881821,31.53775262,38.27637385,21.52758198,20.95599406,19.8561545,28.90335453,15.17679649,1.2835,-0.0332,-0.4343,0.666,0.4715,5,5361.078588,0.000932648,47.469,0,52.531,7106.653333,15,0.255038471,1.034089418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2.2106885,1.102186124,1.288515583,0.786373481,0.612676527,0.922172917,0.716894699,NA,"OGS7","486",1,70,NA,288.5,6823.49,"indet","Oldowan","Bifacial",72.4,70,43,36,34.9,40.8,24.9,19.4,29.2,22.7,8,9264.29,0.736536745,31.66434348,1,"Oldowan","Pick",0.936277846,852.93625,0.092067093,"Core",-0.05207996,-0.602457112,"Not Selected",0.983865614,"OGS7-486","Oldowan",29519.81666,68.61100175,43.09227806,31.30321943,42.07735594,43.77115402,42.19812705,29.03012044,33.44340199,19.08870135,23.77395334,22.27382052,0.9214,1.3791,0.1299,0.3874,0.3976,8,6370.738771,0.001255741,32.974,0,67.026,9264.29,70,0.736536745,-0.05207996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
