Note,Site,Catalog,Scan,Coverage,Old_Scar_Length,New_Scar_Length,Total_Scar_Area,Base,Type,Technology,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,SA_fitted,Calc_cover,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Dis_1,logSDI,Average_scar_area,Average_scar_area_relative,Collapsed_Types,FAC1_1,FAC2_1,filter_$,logSDI_plus_one
 ,OGS5,42, ,75,658.91,829.1,44244.29,cobble,pick,Multifacial,900,168,94,90,92.17,80.67,47.82,74,90,50.44,7,57963.8208,.763308722395333,79.4973824646728,2.11327712676145,1.15940924270002,1.01475039176099,.601529239296028,.930848258216355,1.13211274647935,.634486299249094,2,Pick,Pick,.0819410348910083,6320.61285714286,.109044103199333,Pick,-.654663450612133,-1.66466458347601,Not Selected,.343930193837925
 ,OGS5,43, ,5, ,139.75,3330.602,flake,Flake, ,888,152.3,105.5,49.5,85.8,103.7,75.7,48.6,50.9,28,4,46161.62,.0721508907183067,68.5392156286824,2.22208554041674,1.25183807858014,1.51300243296924,1.10447718588015,.709083107447494,.742640538458384,.408525247089091,2,Retouched Flake/Knife,Handaxe/Cleaver,-.0622210502563502,832.6505,.0180377226795767,Flake,.577727994533239,.44361197842454,Selected,.271032814332894
 ,OGS5,46, ,100,1386.88,1401.81,76129.8202,indet,pick,Multifacial,1514,216,103,100.4,86.09,103,47.49,61.75,96.87,54.4,16,72641.9135,1.04801507190473,84.0363706322709,2.57031566659607,1.02443738767248,1.22565978546016,.565112458364109,.73480089079772,1.15271517881093,.647338760476048,2,Pick,Pick,.342932707005977,4758.1137625,.0655009419940459,Pick,.24772489433405,-2.15663143127765,Not Selected,.505500685653624
 ,OGS5,47, ,0, ,0,0,flake,Flake, ,688,156,78.43,49.69,72.81,75.79,53.9,26.29,49,43.5,0,37672.9849,0,59.3704468742777,2.62756991420907,1.22636772726643,1.27656104998657,.907859092153006,.442812904131772,.825326447411823,.732687764539068,2,Large Flake,Large Flake,0, , ,Flake,.892384841583212,-.794838637987084,Selected,0
pick tip,OGS5,49, ,100,621.15, , ,indet,pick,Bifacial,400,123,78,66,72.03,68.22,32.09,44.5,60.17,31.22,15,29482.0448, ,55.4967504481221,2.21634598434694,1.29791383132122,1.2292611630256,.578232053964987,.801848750434464,1.08420762502566,.562555460417168,2,Pick,Pick,.706533657258098, , ,Pick,-.143775418109538,-1.31598230476314,Not Selected,.784463406914455
 ,OGS5,5, ,5,195.52, , ,flake,Flake,Unidirectional,892,175,111,48,96.29,68.93,35.36,73.53,71.23,58.87,4,56319.6802333333, ,74.4379619102877,2.35095098668753,1.29356040290367,.926006008642124,.475026439367264,.987802434577911,.956904221610018,.790859911921687,2,Retouched Flake/Knife,Pick,-.148600189016089, , ,Flake,-.312814858288008,-2.25841314975654,Selected,.233054851780565
 ,OGS5,50, ,10, ,357.25,16287.7452,flake,Flake,Multifacial,786,154.81,112.97,54.67,101.64,112,59.68,58.4,55,31.57,6,50990.1902,.31942899479516,72.6335434396057,2.13138438067149,1.3993534555355,1.541987278827,.821658935717814,.804036223959791,.757225895852543,.434647664219359,2,Retouched Flake/Knife,Handaxe/Cleaver,.070664618438598,2714.6242,.0532381657991933,Flake,.333237024295433,.107654232815949,Selected,.337797963685964
 ,OGS5,51, ,25, ,345.53,33108.3285,flake,Flake, ,2172,255,129.87,88.33,105.8,111.86,78,70,88,40,3,94448.2,.350544833040757,92.5135057173397,2.75635430765225,1.14361680686121,1.20912075629012,.843120141164217,.756646280531989,.951212466954501,.432369303161137,2,Retouched Flake/Knife,Pick,-.498072430804294,11036.1095,.116848277680252,Flake,.966417127081589,-1.76047465936205,Selected,.119794933896182
 ,OGS5,52, ,5,159.12,88.05,1840.2135,flake,Flake,Unifacial simple,646,109,138,49,92.16,102.01,71.3,28.5,49.6,36.79,4,32889.1803333333,.0559519416826249,62.6770032691944,1.73907484906148,1.47039576228904,1.62755069130974,1.13757831869801,.454712231176625,.791358830398618,.586977648596072,2,Retouched Flake/Knife,Retouched Flake/Knife,.0850069412307177,460.053375,.0139879854206562,Flake,-.0568652737434397,1.91395676901243,Selected,.345610016351512
 ,OGS5,55, ,0, ,0,0,flake,Flake, ,726,145.8,95.9,60.4,80.6,90.5,73.3,60,54.8,40,0,46570.24,0,72.2255717612562,2.01867560816197,1.11594824429256,1.25301881027886,1.0148760087673,.830730702947313,.758734042025213,.553820468631542,2,Large Flake,Oldowan,0, , ,Flake,-.208728616386182,.0456372199842257,Selected,0
