Name,Type,L,Br1,Br2,Br3,T1,T2,T3,Caliper_L_GM,Caliper_Br1_GM,Caliper_Br2_GM,Caliper_Br3_GM,Caliper_T1_GM,Caliper_T2_GM,Caliper_T3_GM,Volume,Length,Width,Thickness,Lengthofthehighertouchpointofwidth,Lengthofthehighertouchpointofthickness,widthathalflength,thicknessathalf,widthatonefifth,thicknessatonefifth,widthatfourfifth,thicknessatfourfifth,@3DGMPC110x10,@3DGMPC210x10,@3DGMPC310x10,@3DGMPC410x10,@3DGMPC510x10,ScarCount,SurfaceArea3D,SDI,Cortex,Ventral,Flaked,SurfaceAreaCallipers,FlakedVisual,FlakedCallipers,FAC1_1,ScarcountDS,PC1_Final,PC2_Final,FAC1_2,FAC2_2,FAC3_2,FAC4_2,LbyBr2,LbyT2,Br1byBr3,T1byT3,LbyBr,LbyT,SDILinearEst,SAcalipersCorrected,SDILinearCorrected,TDFlaked_VisualFlaked
OGS7-2081,Oldowan,47,37.5,34.2,23.8,25.4,23.3,18,1.648970755,1.315668156,1.199889358,0.835010723,0.891145898,0.817468481,0.631520715,19571.13596,45.43475455,38.14676826,24.65714486,27.50676936,26.88710445,33.81749429,23.40359577,34.98431092,23.83652603,24.35644259,19.92479191,-1.7575,0.4191,0.2097,0.0066,0.7004,7,4292.550801,0.001630732,47.616,0,52.384,6463.166667,60,0.585114108,-0.95079821,7,-0.9508,0.31767,-0.994107035,-0.00527753,1.021138515,0.0761626,1.374269006,2.017167382,1.575630252,1.411111111,1.191051211,1.842660811,0.00108306,4308.777778,0.001624591,-7.616
OGS7-2092,Oldowan,41,24.3,31.3,21.3,22,24.7,22,1.579496467,0.936140589,1.205810717,0.820567677,0.847534689,0.95155031,0.847534689,14336.42763,34.66843041,34.0293707,25.96005366,17.46056066,13.47785563,32.80934535,25.52186082,33.51495268,25.36524128,21.43929119,20.63807557,-1.805,-0.4549,-1.4006,-0.309,1.0721,6,3355.848427,0.001787923,51.845,0,48.155,4982.933333,50,0.529244488,-1.458471687,6,-1.45847,0.10076,-1.374185446,-0.506612139,-0.897842657,-0.276642602,1.309904153,1.659919028,1.14084507,1,1.018779651,1.335452957,0.00120411,3321.955556,0.001806165,-1.845
OGS7-2114,Oldowan,49,37.7,30.9,27.7,30.4,34.2,21.3,1.52712273,1.174949529,0.963022293,0.863291829,0.947439408,1.065869334,0.663830901,20795.79173,44.33395179,39.12262272,34.63445406,12.22521787,19.72009562,30.88855198,33.54624535,37.96876462,31.8030769,22.38943741,19.18008247,-2.2152,-1.0255,0.2955,-1.7031,1.4818,8,4470.389893,0.001789553,34.458,0,65.542,7687.956667,60, ,-1.55885167,8,-1.55885,-0.13655,-1.473840005,-0.838711731,0.29122119,-0.140698979,1.585760518,1.432748538,1.36101083,1.427230047,1.133205003,1.280053432,0.001040589,5125.304444,0.001560883,5.542
OGS12-13,Pick,183,85.01,95.68,67.43,62.15,61.79,40.34,2.387392655,1.109028686,1.248228029,0.879682441,0.810800292,0.806103782,0.526270053,329420.9128,171.9596823,91.36688767,63.66758547,91.88050885,67.75464469,90.94233105,56.98508516,74.73354047,51.37377307,65.88362318,28.94837898,1.8345,0.4692,0.0333,-0.04,-0.1758,13,31229.09326,0.000416278,24.094,31.576,44.33,58316.2977,40,0.418544917,0.355645548,13,0.35565,-0.90792,0.628308075,-0.255224302,-0.466374359,-0.838303486,1.912625418,2.961644279,1.260714815,1.540654437,1.8820788,2.70089844,0.000222922,38877.5318,0.000334383,4.33
OGS12-16,Handaxe/Cleaver,135,69.93,83.62,64.42,43.65,41.35,21.59,2.363816093,1.224456736,1.464165198,1.12797802,0.764300537,0.724028114,0.378035477,205943.0019,131.7349127,83.55946594,43.48146166,63.86677498,71.92329774,82.71012926,41.91998052,68.18527523,43.46433147,53.40385732,20.83770267,0.5485,0.0142,-0.285,-0.2172,-0.32,11,21978.42586,0.000500491,36.965,0,63.035,33653.6723,60,0.621519096,0.786874884,11,0.78687,0.10083,0.74227885,1.068558941,0.073499853,-1.483311262,1.614446305,3.264812576,1.085532443,2.021769338,1.576540865,3.029679952,0.000326859,22435.78153,0.000490288,3.035
OGS12-63,Handaxe/Cleaver,167,86,77.38,38.17,33.88,44.81,30.86,2.922936076,1.505224566,1.354352057,0.668074671,0.592988469,0.784292009,0.540130583,230270.3364,166.6996195,85.69830057,48.76776449,62.40911132,72.34652152,79.07127505,46.10741969,77.58652209,36.61089825,35.46707625,28.93641999,2.0248,0.0107,-0.2236,-0.5395,-0.4423,4,25779.52488,0.000155162,26.618,31.088,42.294,38727.4062,40,0.258474246,1.567594654,4,1.56759,-1.60624,2.016545598,-0.056429457,0.076152788,1.520276012,2.158180408,3.726846686,2.253078334,1.097861309,1.945191659,3.418233771,0.000103286,25818.2708,0.000154929,2.294
OGS12-74,Pick,150,86.88,73.77,44.09,70.15,57.66,35.18,2.240348976,1.297610127,1.101803626,0.658513242,1.047736538,0.861190146,0.525436513,326280.0205,149.7376048,87.72087158,71.71778991,60.51875938,25.33583582,73.70279675,57.58451998,82.26780862,71.01789986,39.68432572,31.93314162,0.8599,-1.1407,1.0446,0.312,-0.2093,15,29198.25199,0.000513729,23.571,0,76.429,44418.7182,80,0.716951801,-0.120476569,15,-0.12048,-1.44325,0.3008804,-1.237997412,1.070388439,-0.25895816,2.033346889,2.601456816,1.970514856,1.994030699,1.706978078,2.087872549,0.000337695,29612.4788,0.000506543,-3.571
OGS12-102,Pick,129,67.55,79.85,51.46,28.58,43.38,36.07,2.328604626,1.219358469,1.441388212,0.928914683,0.515903258,0.783060998,0.651106735,166400.1858,128.5929583,79.09428987,47.63256998,65.73984061,83.73134218,78.06728729,47.36250409,63.95026615,30.11246972,37.13323754,27.65341341,1.1154,0.3545,-0.2979,-0.0963,-0.0313,10,19171.15399,0.000521617,33.544,0,66.456,30179.2812,65,0.36112656,0.535491582,10,0.53549,-0.02328,0.585358752,0.863854827,-0.969196319,0.501351652,1.615529117,2.973720609,1.312670035,0.792348212,1.625818482,2.699685495,0.000331353,20119.5208,0.00049703,1.456
OGS12-110,"""Retouched Flake/Knife""",119,93.24,83.59,52.3,45.31,31.4,18.54,2.218043234,1.73790211,1.558035579,0.974820682,0.84453394,0.585265189,0.345567408,159932.0859,115.0246369,91.53153617,45.81800845,38.8060288,32.93761413,87.26294946,35.00131338,89.91091954,39.53693892,45.59098824,16.29614468,0.7003,0.0061,-0.1981,0.7349,-0.6929,7,20495.82142,0.000341533,9.32,40.421,50.259,30928.49307,40,0.472799304,0.873765634,7,0.87377,0.59518,0.670988306,1.503420739,2.662589562,0.027448992,1.423615265,3.789808917,1.782791587,2.44390507,1.256666737,2.510467844,0.000226329,20618.99538,0.000339493,10.259
OGS12-113,"""Retouched Flake/Knife""",126,47,78,48.6,41.22,40.37,20.33,2.530205381,0.943806769,1.566317617,0.975936361,0.827738618,0.810669772,0.40824663,140636.2073,124.639496,80.36357334,45.21207515,52.66057175,52.45858712,77.47649034,38.21047184,58.92725525,45.1681591,46.54323355,20.74040568,1.6544,1.0272,0.4225,1.1281,0.7706,4,18001.17207,0.000222208,28.686,45.626,25.688,26069.058,30,0.215514776,0.828719195,4,0.82872,-0.6687,1.046928758,0.363457599,-0.80664448,-1.99315915,1.615384615,3.121129552,0.967078189,2.027545499,1.550945171,2.756774502,0.000153439,17379.372,0.000230158,-4.312
OGS12-115,"""Retouched Flake/Knife""",121,82.95,99.37,67.2,47.05,44.63,27.15,1.928993227,1.322396597,1.58416576,1.071308635,0.750075466,0.711495601,0.432827819,276080.1563,144.9418023,98.64116151,51.25369966,71.98961245,65.98318668,97.48854221,45.48888255,82.99472039,50.99081888,60.22681323,20.35247411,1.1282,0.3607,0.1971,1.2627,0.4113,4,27751.14741,0.000144138,44.377,35.288,20.335,35440.84417,15,0.233201274,0.132404007,4,0.1324,1.04695,-0.142192534,1.559821268,0.874817947,-0.799730117,1.217671329,2.71118082,1.234375,1.732965009,1.469384586,2.827928584,0.000112864,23627.22944,0.000169296,5.335
OGS12-226,Handaxe/Cleaver,156,96.86,90.31,50.24,50.41,55,26.4,2.392004809,1.485189652,1.384756117,0.770348215,0.772954887,0.843335029,0.404800814,265926.4603,146.8479093,97.08638495,56.98601238,63.72911316,68.87627428,88.92459266,53.4315864,93.84650044,48.18327881,47.90444418,29.96949285,1.1434,-0.0491,-0.4351,-0.048,-0.3111,14,28122.78925,0.000497817,3.88,0,96.12,44607.9286,95,0.809954475,0.683005203,14,0.68301,-0.67739,0.871196154,0.224709634,1.154508884,0.527603968,1.727383457,2.836363636,1.92794586,1.909469697,1.512548947,2.576911477,0.000313846,29738.61907,0.000470768,1.12
OGS12-2012,Pick,174,67.42,82.58,58.12,34.6,73.57,51.2,2.527018909,0.979147212,1.199317365,0.844082408,0.502499162,1.068464259,0.743582576,286650.3212,172.9814853,83.33122997,73.75098051,113.2366165,91.19937374,80.87771,71.63749219,55.47582921,45.38900033,58.25417043,30.91020527,1.9119,0.4953,-0.5863,-1.3083,0.2013,10,30194.04869,0.000331191,8.761,0,91.239,47937.316,95,0.953519884,0.342966958,10,0.34297,-1.29813,0.766306506,-0.457150491,-2.594006567,0.618476574,2.107047711,2.365094468,1.160013765,0.67578125,2.075830218,2.345480481,0.000208606,31958.21067,0.000312909,-3.761
